Nodes,Kruskal,Prim
100,5.5e-05,0.00146783
200,0.000298542,0.0173692
300,0.000893542,0.0728039
400,0.00194563,0.203915
500,0.00370329,0.472946
600,0.00619367,0.911123
700,0.00952087,1.65405
800,0.014373,2.79005
900,0.0198115,4.55964
1000,0.0253038,6.12425
